City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country
82,Glenwood Springs,39.5505,-107.3248,49.23,15,0,3.0,clear sky,
83,Georgetown,5.4112,100.3354,81.9,89,20,0.0,few clouds,
84,East London,-33.0153,27.9116,74.34,85,77,14.32,broken clouds,
85,Sao Felix Do Xingu,-6.6447,-51.995,70.95,95,100,1.34,light rain,
86,Albany,42.6001,-73.9662,21.74,38,13,1.99,few clouds,
87,Khatanga,71.9667,102.5,-6.81,98,99,9.93,overcast clouds,
88,Qaanaaq,77.484,-69.3632,-7.91,67,100,6.64,overcast clouds,
89,Lompoc,34.6391,-120.4579,73.02,47,0,14.97,clear sky,
90,Klaksvik,62.2266,-6.589,36.52,97,100,34.96,overcast clouds,
91,Erdenet,49.0333,104.0833,-11.56,94,10,3.76,clear sky,
92,Qom,34.6401,50.8764,41.92,35,0,6.91,clear sky,
93,Cayenne,4.9333,-52.3333,78.84,88,75,1.99,broken clouds,
94,Pangai,-19.8,-174.35,81.09,75,99,10.42,light rain,
95,Cabo San Lucas,22.8909,-109.9124,79.9,60,20,8.05,few clouds,
96,Gat,31.61,34.7642,51.4,100,0,4.65,clear sky,
97,Busselton,-33.65,115.3333,63.09,65,87,17.78,overcast clouds,
98,Tambacounda,13.7539,-13.7586,91.45,17,0,8.05,clear sky,
99,Puerto Del Rosario,28.5004,-13.8627,65.88,55,20,9.22,few clouds,
100,Lasa,46.6166,10.7002,44.51,53,15,7.25,few clouds,
101,Dali,25.7,100.1833,37.11,87,26,3.0,scattered clouds,
102,Saint-Joseph,-21.3667,55.6167,77.38,80,27,13.22,scattered clouds,
103,Fort Nelson,58.8053,-122.7002,0.99,78,100,10.36,light snow,
104,Huarmey,-10.0681,-78.1522,72.72,80,100,9.31,overcast clouds,
105,Port Elizabeth,-33.918,25.5701,74.1,88,20,14.97,few clouds,
106,Peno,56.9262,32.7426,23.45,96,100,6.35,overcast clouds,
107,Chuy,-33.6971,-53.4616,76.44,63,26,13.98,scattered clouds,
108,Dikson,73.5069,80.5464,-2.78,93,100,20.98,overcast clouds,
109,Upernavik,72.7868,-56.1549,-2.63,70,100,9.42,overcast clouds,
110,Saldanha,-33.0117,17.9442,66.25,91,99,9.57,overcast clouds,
111,Bathsheba,13.2167,-59.5167,81.21,69,40,20.71,scattered clouds,
112,Caceres,39.522,-6.3748,46.8,51,46,2.17,scattered clouds,
113,Saint-Denis,48.9167,2.3333,46.15,78,100,2.3,overcast clouds,
114,Vardo,70.3705,31.1107,28.15,86,75,9.22,broken clouds,
115,Alofi,-19.0595,-169.9187,75.09,84,100,4.61,shower rain,
116,Puerto Ayora,-0.7393,-90.3518,82.36,73,100,8.84,overcast clouds,
117,Aklavik,68.2191,-135.0107,5.0,72,100,12.66,light snow,
118,Honningsvag,70.9821,25.9704,31.75,69,20,18.41,few clouds,
119,Norman Wells,65.282,-126.8329,-29.16,68,75,0.0,broken clouds,
120,Port-Gentil,-0.7193,8.7815,82.36,83,40,5.75,scattered clouds,
121,Punta Alta,-38.8759,-62.0736,65.07,56,58,23.22,broken clouds,
122,Jiazi,22.8779,116.067,55.67,68,100,18.97,overcast clouds,
123,Nome,64.5011,-165.4064,-6.9,70,0,4.61,clear sky,
124,Ponta Do Sol,32.6667,-17.1,65.12,44,1,9.15,clear sky,
125,Pevek,69.7008,170.3133,-12.42,95,100,2.48,overcast clouds,
126,San Jeronimo,-11.9472,-75.2829,50.58,85,100,2.08,overcast clouds,
127,Havelock,34.8791,-76.9013,43.03,42,6,8.99,clear sky,
